,model,feats,body_part,interp,emotion,shuffle,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
1528,rand,no-input,,False,sadness,False,7,0,0.11332801276935354,,0.31004366812227074,,0.16598480420806544,,[0.64431705],
1529,rand,no-input,,False,sadness,False,average,0,0.2376045121342003,0.1874237630419042,0.20428979529689403,0.12181244719254353,0.20108602392981095,0.1255742571250191,0.6024180908605862,0.07597166575873858
1530,rand,no-input,,False,anger,False,0,0,0.29235237173281703,,0.3247311827956989,,0.30769230769230765,,[0.57663551],
1531,rand,no-input,,False,anger,False,1,0,0.31093007467752887,,0.30945945945945946,,0.31019302404334576,,[0.57756118],
1532,rand,no-input,,False,anger,False,2,0,0.4479166666666667,,0.2792207792207792,,0.34400000000000003,,[0.49265275],
1533,rand,no-input,,False,anger,False,3,0,0.1719641401792991,,0.33868378812199035,,0.22810810810810808,,[0.61960575],
1534,rand,no-input,,False,anger,False,4,0,0.3341503267973856,,0.31903276131045244,,0.32641660015961693,,[0.58362111],
1535,rand,no-input,,False,anger,False,5,0,0.14792347176854875,,0.39427860696517414,,0.21513403461146927,,[0.60434485],
1536,rand,no-input,,False,anger,False,6,0,0.16163793103448276,,0.30991735537190085,,0.21246458923512748,,[0.6017192],
1537,rand,no-input,,False,anger,False,7,0,0.6824782187802517,,0.25,,0.3659486114715806,,[0.39107677],
1538,rand,no-input,,False,anger,False,average,0,0.3186691502046226,0.16785013490555478,0.3156654916556819,0.03955236860298502,0.28874465941519445,0.05719023983738603,0.55590214061198,0.07188468747993416
1539,rand,no-input,,False,surprise,False,0,0,0.18495934959349594,,0.14893617021276595,,0.16500453309156846,,[0.71308411],
1540,rand,no-input,,False,surprise,False,1,0,0.27607361963190186,,0.14376996805111822,,0.18907563025210083,,[0.67980091],
1541,rand,no-input,,False,surprise,False,2,0,0.0898876404494382,,0.14925373134328357,,0.11220196353436185,,[0.75522042],
1542,rand,no-input,,False,surprise,False,3,0,0.4752475247524752,,0.10684474123539232,,0.1744661517492049,,[0.51598295],
1543,rand,no-input,,False,surprise,False,4,0,0.0,,0.0,,0.0,,[0.81993093],
1544,rand,no-input,,False,surprise,False,5,0,0.06813996316758748,,0.16299559471365638,,0.09610389610389611,,[0.76188847],
