,model,feats,body_part,interp,emotion,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
468,JointBiLSTM,brute,full-head,True,happiness,0,33,0.6543478260869565,,0.2711711711711712,,0.3834394904458599,,[0.69844237],
469,JointBiLSTM,brute,full-head,True,happiness,1,33,0.04095112285336856,,0.44285714285714284,,0.07496977025392988,,[0.68270427],
470,JointBiLSTM,brute,full-head,True,happiness,2,33,0.2276064610866373,,0.14116575591985428,,0.17425519955030916,,[0.43194122],
471,JointBiLSTM,brute,full-head,True,happiness,3,33,0.6501128668171557,,0.5729442970822282,,0.6090941135001763,,[0.70458178],
472,JointBiLSTM,brute,full-head,True,happiness,4,33,0.11358024691358025,,0.11645569620253164,,0.115,,[0.65071534],
473,JointBiLSTM,brute,full-head,True,happiness,5,33,0.49810749432248297,,0.6140923938404106,,0.5500522466039707,,[0.63171399],
474,JointBiLSTM,brute,full-head,True,happiness,6,33,0.8018867924528302,,0.24566473988439305,,0.37610619469026546,,[0.59598854],
475,JointBiLSTM,brute,full-head,True,happiness,7,33,0.12931034482758622,,0.36885245901639346,,0.19148936170212766,,[0.71585244],
476,JointBiLSTM,brute,full-head,True,happiness,average,33,0.3894878944200747,0.27646159206070225,0.34665045699676567,0.1744962660289777,0.30930079709332986,0.18794197163592583,0.6389924947232334,0.08700889630025863
477,JointBiLSTM,brute,full-hh,True,happiness,0,33,0.5872235872235873,,0.2153153153153153,,0.3150955833882663,,[0.67632399],
478,JointBiLSTM,brute,full-hh,True,happiness,1,33,0.01597565614302016,,0.3,,0.030335861321776816,,[0.4431771],
479,JointBiLSTM,brute,full-hh,True,happiness,2,33,0.1827956989247312,,0.10837887067395265,,0.13607775871926817,,[0.41569992],
480,JointBiLSTM,brute,full-hh,True,happiness,3,33,0.6690307328605201,,0.5629973474801061,,0.6114512063377745,,[0.71257326],
481,JointBiLSTM,brute,full-hh,True,happiness,4,33,0.0959409594095941,,0.09873417721518987,,0.09731752963194013,,[0.64306857],
